"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2021","2021","Connecticut","09",1642,3605597,45.5,46.1
,"2021","2021","Delaware","10",539,1003384,53.7,57.5
,"2021","2021","District of Columbia","11",480,670050,71.6,68.4
,"2021","2021","Florida","12",8498,21781128,39.0,41.9
,"2021","2021","Georgia","13",2847,10799566,26.4,27.5
,"2021","2021","Hawaii","15",307,1441553,21.3,20.6
,"2021","2021","Idaho","16",408,1900923,21.5,22.5
,"2021","2021","Illinois","17",4124,12671469,32.5,32.8
,"2021","2021","Indiana","18",3048,6805985,44.8,47.3
,"2021","2021","Iowa","19",552,3193079,17.3,18.3
,"2021","2021","Kansas","20",755,2934582,25.7,27.4
,"2021","2021","Kentucky","21",2502,4509394,55.5,58.9
,"2021","2021","Louisiana","22",2628,4624047,56.8,60.0
,"2021","2021","Maine","23",636,1372247,46.3,50.1
,"2021","2021","Maryland","24",2962,6165129,48.0,47.5
,"2021","2021","Massachusetts","25",2708,6984723,38.8,39.3
,"2021","2021","Michigan","26",3456,10050811,34.4,36.4
,"2021","2021","Minnesota","27",1499,5707390,26.3,27.7
,"2021","2021","Mississippi","28",925,2949965,31.4,33.9
,"2021","2021","Missouri","29",2337,6168187,37.9,40.2
,"2021","2021","Montana","30",218,1104271,19.7,21.9
,"2021","2021","Nebraska","31",271,1963692,13.8,14.7
,"2021","2021","Nevada","32",1033,3143991,32.9,32.6
,"2021","2021","New Hampshire","33",467,1388992,33.6,35.5
,"2021","2021","New Jersey","34",3246,9267130,35.0,35.2
,"2021","2021","New Mexico","35",1087,2115877,51.4,53.8
,"2021","2021","New York","36",6271,19835913,31.6,31.6
,"2021","2021","North Carolina","37",4359,10551162,41.3,43.8
,"2021","2021","North Dakota","38",138,774948,17.8,19.1
,"2021","2021","Ohio","39",5859,11780017,49.7,53.1
,"2021","2021","Oklahoma","40",1121,3986639,28.1,29.2
,"2021","2021","Oregon","41",1249,4246155,29.4,29.5
,"2021","2021","Pennsylvania","42",5834,12964056,45.0,47.4
,"2021","2021","Rhode Island","44",476,1095610,43.4,44.7
,"2021","2021","South Carolina","45",2345,5190705,45.2,48.0
,"2021","2021","South Dakota","46",126,895376,14.1,15.3
,"2021","2021","Tennessee","47",3989,6975218,57.2,59.8
,"2021","2021","Texas","48",5938,29527941,20.1,20.4
,"2021","2021","Utah","49",760,3337975,22.8,24.1
,"2021","2021","Vermont","50",264,645570,40.9,45.5
,"2021","2021","Virginia","51",2902,8642274,33.6,34.6
,"2021","2021","Washington","53",2428,7738692,31.4,30.9
,"2021","2021","West Virginia","54",1552,1782959,87.0,95.0
,"2021","2021","Wisconsin","55",1933,5895908,32.8,35.2
,"2021","2021","Wyoming","56",132,578803,22.8,24.1
"Total","2021","2021",,,116278,331893745,35.0,36.1
,"2022","2022","Alabama","01",1646,5074296,32.4,35.2
,"2022","2022","Alaska","02",276,733583,37.6,37.5
,"2022","2022","Arizona","04",2898,7359197,39.4,41.3
,"2022","2022","Arkansas","05",728,3045637,23.9,25.9
,"2022","2022","California","06",11862,39029342,30.4,29.9
,"2022","2022","Colorado","08",1957,5839926,33.5,33.0
,"2022","2022","Connecticut","09",1564,3626205,43.1,43.4
,"2022","2022","Delaware","10",601,1018396,59.0,62.0
,"2022","2022","District of Columbia","11",471,671803,70.1,67.6
,"2022","2022","Florida","12",8252,22244823,37.1,39.6
,"2022","2022","Georgia","13",3110,10912876,28.5,29.6
,"2022","2022","Hawaii","15",335,1440196,23.3,23.0
,"2022","2022","Idaho","16",442,1939033,22.8,24.2
,"2022","2022","Illinois","17",4271,12582032,33.9,34.4
,"2022","2022","Indiana","18",2971,6833037,43.5,46.0
,"2022","2022","Iowa","19",547,3200517,17.1,18.2
,"2022","2022","Kansas","20",841,2937150,28.6,29.9
,"2022","2022","Kentucky","21",2397,4512310,53.1,56.5
,"2022","2022","Louisiana","22",2579,4590241,56.2,59.4
,"2022","2022","Maine","23",749,1385340,54.1,59.1
,"2022","2022","Maryland","24",2816,6164660,45.7,45.1
,"2022","2022","Massachusetts","25",2767,6981974,39.6,39.8
,"2022","2022","Michigan","26",3327,10034113,33.2,35.0
,"2022","2022","Minnesota","27",1536,5717184,26.9,28.1
,"2022","2022","Mississippi","28",899,2940057,30.6,33.2
,"2022","2022","Missouri","29",2408,6177957,39.0,41.2
,"2022","2022","Montana","30",231,1122867,20.6,22.2
,"2022","2022","Nebraska","31",291,1967923,14.8,15.6
,"2022","2022","Nevada","32",1067,3177772,33.6,32.9
,"2022","2022","New Hampshire","33",506,1395231,36.3,38.2
,"2022","2022","New Jersey","34",3181,9261699,34.3,34.3
,"2022","2022","New Mexico","35",1081,2113344,51.2,54.1
,"2022","2022","New York","36",6787,19677151,34.5,34.2
,"2022","2022","North Carolina","37",4740,10698973,44.3,46.7
,"2022","2022","North Dakota","38",168,779261,21.6,22.5
,"2022","2022","Ohio","39",5602,11756058,47.7,50.5
,"2022","2022","Oklahoma","40",1349,4019800,33.6,35.1
,"2022","2022","Oregon","41",1454,4240137,34.3,34.1
,"2022","2022","Pennsylvania","42",5581,12972008,43.0,45.2
,"2022","2022","Rhode Island","44",449,1093734,41.1,41.4
,"2022","2022","South Carolina","45",2465,5282634,46.7,49.3
,"2022","2022","South Dakota","46",128,909824,14.1,15.3
,"2022","2022","Tennessee","47",4026,7051339,57.1,59.4
,"2022","2022","Texas","48",6523,30029572,21.7,22.0
,"2022","2022","Utah","49",751,3380800,22.2,23.5
,"2022","2022","Vermont","50",284,647064,43.9,48.0
,"2022","2022","Virginia","51",2812,8683619,32.4,33.3
,"2022","2022","Washington","53",2914,7785786,37.4,36.8
,"2022","2022","West Virginia","54",1392,1775156,78.4,85.5
,"2022","2022","Wisconsin","55",1964,5892539,33.3,35.6
,"2022","2022","Wyoming","56",148,581381,25.5,26.8
"Total","2022","2022",,,118144,333287557,35.4,36.4
,"2023 ","2023","Alabama","01",1804,5108468,35.3,38.5
,"2023 ","2023","Alaska","02",386,733406,52.6,53.5
,"2023 ","2023","Arizona","04",2837,7431344,38.2,39.8
,"2023 ","2023","Arkansas","05",663,3067732,21.6,23.4
,"2023 ","2023","California","06",12238,38965193,31.4,30.8
,"2023 ","2023","Colorado","08",2027,5877610,34.5,34.0
,"2023 ","2023","Connecticut","09",1404,3617176,38.8,38.6
,"2023 ","2023","Delaware","10",554,1031890,53.7,56.8
,"2023 ","2023","District of Columbia","11",447,678972,65.8,64.2
,"2023 ","2023","Florida","12",7741,22610726,34.2,36.2
,"2023 ","2023","Georgia","13",3002,11029227,27.2,28.3
,"2023 ","2023","Hawaii","15",349,1435138,24.3,24.0
,"2023 ","2023","Idaho","16",429,1964726,21.8,23.1
,"2023 ","2023","Illinois","17",3931,12549689,31.3,31.7
,"2023 ","2023","Indiana","18",2504,6862199,36.5,38.7
,"2023 ","2023","Iowa","19",546,3207004,17.0,18.0
,"2023 ","2023","Kansas","20",758,2940546,25.8,27.0
,"2023 ","2023","Kentucky","21",2210,4526154,48.8,51.5
,"2023 ","2023","Louisiana","22",2395,4573749,52.4,54.9
,"2023 ","2023","Maine","23",639,1395722,45.8,49.6
,"2023 ","2023","Maryland","24",2745,6180253,44.4,43.2
,"2023 ","2023","Massachusetts","25",2511,7001399,35.9,36.1
,"2023 ","2023","Michigan","26",3176,10037261,31.6,32.9
,"2023 ","2023","Minnesota","27",1458,5737915,25.4,26.3
,"2023 ","2023","Mississippi","28",837,2939690,28.5,30.7
,"2023 ","2023","Missouri","29",2162,6196156,34.9,37.1
,"2023 ","2023","Montana","30",218,1132812,19.2,20.8
,"2023 ","2023","Nebraska","31",243,1978379,12.3,13.1
,"2023 ","2023","Nevada","32",1373,3194176,43.0,42.0
,"2023 ","2023","New Hampshire","33",464,1402054,33.1,35.5
,"2023 ","2023","New Jersey","34",2903,9290841,31.2,31.2
,"2023 ","2023","New Mexico","35",1031,2114371,48.8,51.4
,"2023 ","2023","New York","36",6745,19571216,34.5,33.8
,"2023 ","2023","North Carolina","37",3966,10835491,36.6,38.8
,"2023 ","2023","North Dakota","38",140,783926,17.9,19.0
,"2023 ","2023","Ohio","39",5209,11785935,44.2,46.6
,"2023 ","2023","Oklahoma","40",1432,4053824,35.3,36.9
,"2023 ","2023","Oregon","41",1880,4233358,44.4,44.3
,"2023 ","2023","Pennsylvania","42",5137,12961683,39.6,41.2
,"2023 ","2023","Rhode Island","44",437,1095962,39.9,40.8
,"2023 ","2023","South Carolina","45",2391,5373555,44.5,46.4
,"2023 ","2023","South Dakota","46",123,919318,13.4,14.6
,"2023 ","2023","Tennessee","47",3829,7126489,53.7,55.9
,"2023 ","2023","Texas","48",6752,30503301,22.1,22.3
