year,state,deaths,population,crude_rate,age_adjusted_rate
2022,Delaware,601.0,1018396.0,59.0,62.0
2022,District of Columbia,471.0,671803.0,70.1,67.6
2022,Florida,8252.0,22244823.0,37.1,39.6
2022,Georgia,3110.0,10912876.0,28.5,29.6
2022,Hawaii,335.0,1440196.0,23.3,23.0
2022,Idaho,442.0,1939033.0,22.8,24.2
2022,Illinois,4271.0,12582032.0,33.9,34.4
2022,Indiana,2971.0,6833037.0,43.5,46.0
2022,Iowa,547.0,3200517.0,17.1,18.2
2022,Kansas,841.0,2937150.0,28.6,29.9
2022,Kentucky,2397.0,4512310.0,53.1,56.5
2022,Louisiana,2579.0,4590241.0,56.2,59.4
2022,Maine,749.0,1385340.0,54.1,59.1
2022,Maryland,2816.0,6164660.0,45.7,45.1
2022,Massachusetts,2767.0,6981974.0,39.6,39.8
2022,Michigan,3327.0,10034113.0,33.2,35.0
2022,Minnesota,1536.0,5717184.0,26.9,28.1
2022,Mississippi,899.0,2940057.0,30.6,33.2
2022,Missouri,2408.0,6177957.0,39.0,41.2
2022,Montana,231.0,1122867.0,20.6,22.2
2022,Nebraska,291.0,1967923.0,14.8,15.6
2022,Nevada,1067.0,3177772.0,33.6,32.9
2022,New Hampshire,506.0,1395231.0,36.3,38.2
2022,New Jersey,3181.0,9261699.0,34.3,34.3
2022,New Mexico,1081.0,2113344.0,51.2,54.1
2022,New York,6787.0,19677151.0,34.5,34.2
2022,North Carolina,4740.0,10698973.0,44.3,46.7
2022,North Dakota,168.0,779261.0,21.6,22.5
2022,Ohio,5602.0,11756058.0,47.7,50.5
2022,Oklahoma,1349.0,4019800.0,33.6,35.1
2022,Oregon,1454.0,4240137.0,34.3,34.1
2022,Pennsylvania,5581.0,12972008.0,43.0,45.2
2022,Rhode Island,449.0,1093734.0,41.1,41.4
2022,South Carolina,2465.0,5282634.0,46.7,49.3
2022,South Dakota,128.0,909824.0,14.1,15.3
2022,Tennessee,4026.0,7051339.0,57.1,59.4
2022,Texas,6523.0,30029572.0,21.7,22.0
2022,Utah,751.0,3380800.0,22.2,23.5
2022,Vermont,284.0,647064.0,43.9,48.0
2022,Virginia,2812.0,8683619.0,32.4,33.3
2022,Washington,2914.0,7785786.0,37.4,36.8
2022,West Virginia,1392.0,1775156.0,78.4,85.5
2022,Wisconsin,1964.0,5892539.0,33.3,35.6
2022,Wyoming,148.0,581381.0,25.5,26.8
2023,Alabama,1804.0,5108468.0,35.3,38.5
2023,Alaska,386.0,733406.0,52.6,53.5
2023,Arizona,2837.0,7431344.0,38.2,39.8
2023,Arkansas,663.0,3067732.0,21.6,23.4
2023,California,12238.0,38965193.0,31.4,30.8
2023,Colorado,2027.0,5877610.0,34.5,34.0
2023,Connecticut,1404.0,3617176.0,38.8,38.6
2023,Delaware,554.0,1031890.0,53.7,56.8
2023,District of Columbia,447.0,678972.0,65.8,64.2
2023,Florida,7741.0,22610726.0,34.2,36.2
2023,Georgia,3002.0,11029227.0,27.2,28.3
2023,Hawaii,349.0,1435138.0,24.3,24.0
2023,Idaho,429.0,1964726.0,21.8,23.1
2023,Illinois,3931.0,12549689.0,31.3,31.7
2023,Indiana,2504.0,6862199.0,36.5,38.7
2023,Iowa,546.0,3207004.0,17.0,18.0
2023,Kansas,758.0,2940546.0,25.8,27.0
2023,Kentucky,2210.0,4526154.0,48.8,51.5
2023,Louisiana,2395.0,4573749.0,52.4,54.9
2023,Maine,639.0,1395722.0,45.8,49.6
2023,Maryland,2745.0,6180253.0,44.4,43.2
2023,Massachusetts,2511.0,7001399.0,35.9,36.1
2023,Michigan,3176.0,10037261.0,31.6,32.9
2023,Minnesota,1458.0,5737915.0,25.4,26.3
2023,Mississippi,837.0,2939690.0,28.5,30.7
2023,Missouri,2162.0,6196156.0,34.9,37.1
